Cód.Cliente,Segmento,Ano,Mês,Volume de vendas (t),Preço de Venda Líquido (R$/t),Custos de produção (R$/t),Desconto Campanha (%),Período,Faturamento,Lucro Total
D,Construtora,2025,4,609.7811341260797,250,171,-0.03,Depois da campanha,152445.28353151993,48172.709595960296
E,Varejo,2025,4,798.7279330483647,321,192,-0.03,Depois da campanha,256391.66650852506,103035.90336323903
F,Distribuidor,2025,4,532.3219528289396,324,196,-0.03,Depois da campanha,172472.31271657645,68137.20996210427
G,Construtora,2025,4,245.12548645941592,322,174,-0.03,Depois da campanha,78930.40663993193,36278.57199599356
H,Varejo,2025,4,227.74408637692378,339,200,-0.03,Depois da campanha,77205.24528177716,31656.428006392405
I,Distribuidor,2025,4,187.99896550065952,389,149,-0.03,Depois da campanha,73131.59757975655,45119.75172015829
J,Construtora,2025,4,272.0683532940283,280,124,-0.03,Depois da campanha,76179.13892232793,42442.66311386842
K,Varejo,2025,4,90.12915573422114,339,155,-0.03,Depois da campanha,30553.783793900966,16583.76465509669
L,Distribuidor,2025,4,389.44331258196075,379,165,-0.03,Depois da campanha,147599.01546856313,83340.8688925396
M,Construtora,2025,4,738.33302146062,276,195,-0.03,Depois da campanha,203779.91392313113,59804.97473831022
N,Varejo,2025,4,122.89313586197436,271,152,-0.03,Depois da campanha,33304.039818595054,14624.28316757495
O,Distribuidor,2025,4,1162.6547611611263,381,179,-0.03,Depois da campanha,442971.4640023891,234856.2617545475
P,Construtora,2025,4,88.37175278222286,300,155,-0.03,Depois da campanha,26511.525834666856,12813.904153422314
Q,Varejo,2025,4,863.4442429517452,323,151,-0.03,Depois da campanha,278892.4904734137,148512.40978770016
R,Distribuidor,2025,4,726.8252507900708,348,163,-0.03,Depois da campanha,252935.18727494462,134462.6713961631
S,Construtora,2025,4,618.1220095206298,392,112,-0.03,Depois da campanha,242303.82773208688,173074.16266577636
T,Varejo,2025,4,476.7662472786651,320,161,-0.03,Depois da campanha,152565.19912917283,75805.83331730776
U,Distribuidor,2025,4,288.9663153475461,362,146,-0.03,Depois da campanha,104605.80615581168,62416.72411506995
V,Construtora,2025,4,236.05517300352875,316,182,-0.03,Depois da campanha,74593.43466911509,31631.393182472853
X,Varejo,2025,4,425.8024994884403,293,161,-0.03,Depois da campanha,124760.132350113,56205.929932474115
A,Construtora,2025,5,682.7711037558587,304,165,-0.03,Depois da campanha,207562.41554178105,94905.18342206437
B,Varejo,2025,5,885.4148816046268,268,163,-0.03,Depois da campanha,237291.18827003997,92968.56256848581
C,Distribuidor,2025,5,597.3395464370093,322,193,-0.03,Depois da campanha,192343.333952717,77056.8014903742
D,Construtora,2025,5,813.0415121681062,250,171,-0.03,Depois da campanha,203260.37804202657,64230.27946128039
E,Varejo,2025,5,602.5491424750821,321,192,-0.03,Depois da campanha,193418.27473450138,77728.8393792856
F,Distribuidor,2025,5,395.9419483851617,324,196,-0.03,Depois da campanha,128285.1912767924,50680.5693933007
G,Construtora,2025,5,306.4068580742699,322,174,-0.03,Depois da campanha,98663.00829991492,45348.21499499195
H,Varejo,2025,5,162.6743474120884,339,200,-0.03,Depois da campanha,55146.60377269796,22611.73429028029
I,Distribuidor,2025,5,152.74915946928587,389,149,-0.03,Depois da campanha,59419.4230335522,36659.798272628606
J,Construtora,2025,5,222.3635579806962,280,124,-0.03,Depois da campanha,62261.79623459494,34688.71504498861
K,Varejo,2025,5,123.92758913455407,339,155,-0.03,Depois da campanha,42011.45271661383,22802.676400757948
L,Distribuidor,2025,5,468.16057789108044,379,165,-0.03,Depois da campanha,177432.85902071948,100186.3636686912
M,Construtora,2025,5,763.3612594762343,276,195,-0.03,Depois da campanha,210687.70761544065,61832.262017574976
N,Varejo,2025,5,135.94373436059112,271,152,-0.03,Depois da campanha,36840.75201172019,16177.304388910343
O,Distribuidor,2025,5,922.7418739374018,381,179,-0.03,Depois da campanha,351564.6539701501,186393.85853535516
P,Construtora,2025,5,88.37175278222286,300,155,-0.03,Depois da campanha,26511.525834666856,12813.904153422314
Q,Varejo,2025,5,784.2291747910346,323,151,-0.03,Depois da campanha,253306.02345750417,134887.41806405794
R,Distribuidor,2025,5,883.753429937927,348,163,-0.03,Depois da campanha,307546.19361839857,163494.3845385165
S,Construtora,2025,5,582.9443341820574,392,112,-0.03,Depois da campanha,228514.17899936653,163224.4135709761
T,Varejo,2025,5,349.12803934579415,320,161,-0.03,Depois da campanha,111720.97259065413,55511.35825598127
U,Distribuidor,2025,5,291.7183754937132,362,146,-0.03,Depois da campanha,105602.05192872418,63011.16910664205
V,Construtora,2025,5,303.1445379624264,316,182,-0.03,Depois da campanha,95793.67399612674,40621.368086965136
X,Varejo,2025,5,351.5800454491709,293,161,-0.03,Depois da campanha,103012.95331660706,46408.56599929056
A,Construtora,2025,6,759.4086766264143,304,165,-0.03,Depois da campanha,230860.23769442993,105557.80605107159
B,Varejo,2025,6,984.6424114396281,268,163,-0.03,Depois da campanha,263884.1662658203,103387.45320116094
C,Distribuidor,2025,6,581.0484678978181,322,193,-0.03,Depois da campanha,187097.60666309742,74955.25235881854
D,Construtora,2025,6,596.6675613491748,250,171,-0.03,Depois da campanha,149166.8903372937,47136.73734658481
E,Varejo,2025,6,721.6576938945752,321,192,-0.03,Depois da campanha,231652.11974015864,93093.84251240021
F,Distribuidor,2025,6,395.9419483851617,324,196,-0.03,Depois da campanha,128285.1912767924,50680.5693933007
G,Construtora,2025,6,200.3429456639457,322,174,-0.03,Depois da campanha,64510.428503790514,29650.755958263962
H,Varejo,2025,6,223.9164546731099,339,200,-0.03,Depois da campanha,75907.67813418426,31124.387199562276
I,Distribuidor,2025,6,159.46340823716653,389,149,-0.03,Depois da campanha,62031.26580425778,38271.217976919965
J,Construtora,2025,6,295.6127300213961,280,124,-0.03,Depois da campanha,82771.56440599091,46115.58588333779
K,Varejo,2025,6,119.8308093284531,339,155,-0.03,Depois da campanha,40622.6443623456,22048.86891643537
L,Distribuidor,2025,6,356.29920087285774,379,165,-0.03,Depois da campanha,135037.39713081307,76248.02898679156
M,Construtora,2025,6,719.5618429489093,276,195,-0.03,Depois da campanha,198599.06865389898,58284.50927886165
N,Varejo,2025,6,126.15578548662855,271,152,-0.03,Depois da campanha,34188.21786687634,15012.538472908796
O,Distribuidor,2025,6,1079.60799250676,381,179,-0.03,Depois da campanha,411330.64514507557,218080.8144863655
P,Construtora,2025,6,79.02474046871852,300,155,-0.03,Depois da campanha,23707.422140615556,11458.587367964185
Q,Varejo,2025,6,926.8162974803136,323,151,-0.03,Depois da campanha,299361.6640861413,159412.40316661392
R,Distribuidor,2025,6,858.9752963882655,348,163,-0.03,Depois da campanha,298923.4031431164,158910.42983182913
S,Construtora,2025,6,653.2996848592023,392,112,-0.03,Depois da campanha,256093.47646480732,182923.91176057665
T,Varejo,2025,6,476.7662472786651,320,161,-0.03,Depois da campanha,152565.19912917283,75805.83331730776
U,Distribuidor,2025,6,288.9663153475461,362,146,-0.03,Depois da campanha,104605.80615581168,62416.72411506995
V,Construtora,2025,6,270.8422511303646,316,182,-0.03,Depois da campanha,85586.15135719522,36292.86165146886
X,Varejo,2025,6,468.7733939322278,293,161,-0.03,Depois da campanha,137350.60442214276,61878.08799905407
